,id,name,city,address_geo,latitude,longitude
44,https://www.bringfido.com/restaurant/60998,Redbeard's,"Pittsburgh, PA","Redbeard's on Sixth, 6th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4428967,-80.0023748
45,https://www.bringfido.com/restaurant/32451,Soho,"Pittsburgh, PA","Soho, Bluff, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4375692,-79.9825527
46,https://www.bringfido.com/restaurant/29018,Smiling Banana Leaf,"Pittsburgh, PA","The Smiling Banana Leaf, 5901, Bryant Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4757683,-79.9196498
47,https://www.bringfido.com/restaurant/60997,Primanti Brothers,"Pittsburgh, PA","Primanti Brothers, 1832, East Carson Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4284661,-79.9792902193957
51,https://www.bringfido.com/restaurant/61001,Rivertowne North Shore,"Pittsburgh, PA","Rivertowne North Shore, 375, North Shore Drive, North Shore, PGH, Allegheny County, Pennsylvania, 14233, USA",40.4459069,-80.0105048
52,https://www.bringfido.com/restaurant/61009,Walnut Grill,"Pittsburgh, PA","Walnut Grill, Freeport Road, Lincoln-Lemington, Lincoln-Lemington-Belmar, PGH, Allegheny County, Pennsylvania, 15215X, USA",40.4869463,-79.8888647
54,https://www.bringfido.com/restaurant/31968,Dinette,"Pittsburgh, PA","Dinette, Centre Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4595955,-79.9255837
55,https://www.bringfido.com/restaurant/30588,Stone Neapolitan Pizzeria,"Pittsburgh, PA","Stone - Neapolitan Pizzeria, 500, Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4408589,-80.0060956
57,https://www.bringfido.com/restaurant/61007,TGI Fridays,"Pittsburgh, PA","TGI Friday's, Freeport Road, Lincoln-Lemington, Lincoln-Lemington-Belmar, PGH, Allegheny County, Pennsylvania, 15215X, USA",40.4869927,-79.8911291
61,https://www.bringfido.com/restaurant/60977,Joe's Crab Shack,"Pittsburgh, PA","Joe's Crab Shack, West Station Square Drive, Station Square, South Shore, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4338768,-80.0045402
64,https://www.bringfido.com/restaurant/60978,Joseph Tambellini,"Pittsburgh, PA","Joseph Tambellini Restaurant, Bryant Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4764926,-79.9214814
68,https://www.bringfido.com/restaurant/61008,TGI Fridays,"Pittsburgh, PA","TGI Friday's, Freeport Road, Lincoln-Lemington, Lincoln-Lemington-Belmar, PGH, Allegheny County, Pennsylvania, 15215X, USA",40.4869927,-79.8911291
70,https://www.bringfido.com/restaurant/28976,Sushi Fuku,"Pittsburgh, PA","Sushi Fuku, 120, Oakland Avenue, Oakland, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4417046,-79.957343
73,https://www.bringfido.com/restaurant/60993,Peter's Pub,"Pittsburgh, PA","Peter's Pub, 116, Oakland Avenue, Oakland, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4417862,-79.9574481
74,https://www.bringfido.com/restaurant/60989,Panera Bread,"Pittsburgh, PA","Panera Bread, 5430, Centre Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4560504,-79.9374331358928
